127.0.0.1 - - [20/Oct/2023:08:18:05 +0800] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:32 +0800] "GET /portal/resources/dist/img/AdminLTELogo.jpg HTTP/1.1" 200 668932
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:32 +0800] "GET /portal/resources/dist/js/adminlte.js HTTP/1.1" 200 104260
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:32 +0800] "GET /portal/fundclient/HistorySearch?start=833761112&end=1697761112 HTTP/1.1" 200 2308197
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:34 +0800] "GET /portal/fundclient/IndexGetInfo HTTP/1.1" 200 3022
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:34 +0800] "GET /portal/fundclient/IndexGetMargin HTTP/1.1" 200 1497
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:34 +0800] "GET /portal/fundclient/PositionGetList?page=1 HTTP/1.1" 200 10878
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:34 +0800] "GET /portal/resources/dist/img/user2-160x160.jpg HTTP/1.1" 200 6905
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:34 +0800] "GET /portal/resources/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78268
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:34 +0800] "GET /portal/resources/dist/img/AdminLTELogo.jpg HTTP/1.1" 200 668932
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:37 +0800] "GET /portal/fundclient/Summary HTTP/1.1" 200 46068
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/tempusdominus-bootstrap-4/css/tempusdominus-bootstrap-4.min.css HTTP/1.1" 200 11967
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 59305
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/icheck-bootstrap/icheck-bootstrap.min.css HTTP/1.1" 200 12505
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/jqvmap/jqvmap.min.css HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/summernote/summernote-bs4.min.css HTTP/1.1" 200 19513
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/crm/css/sh.css HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/dist/img/user2-160x160.jpg HTTP/1.1" 200 6905
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/daterangepicker/daterangepicker.css HTTP/1.1" 200 8069
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 20020
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/dist/img/AdminLTELogo.jpg HTTP/1.1" 200 668932
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/dist/css/adminlte.min.css HTTP/1.1" 200 1396747
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/jquery/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/jquery-ui/jquery-ui.min.js HTTP/1.1" 200 254921
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 83253
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/sparklines/sparkline.js HTTP/1.1" 200 7219
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/jqvmap/maps/jquery.vmap.usa.js HTTP/1.1" 200 47712
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/jqvmap/jquery.vmap.min.js HTTP/1.1" 200 21150
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/chart.js/Chart.min.js HTTP/1.1" 200 173077
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/jquery-knob/jquery.knob.min.js HTTP/1.1" 200 10804
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/moment/moment.min.js HTTP/1.1" 200 58862
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/daterangepicker/daterangepicker.js HTTP/1.1" 200 67842
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/tempusdominus-bootstrap-4/js/tempusdominus-bootstrap-4.min.js HTTP/1.1" 200 61588
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42602
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/sweetalert2/sweetalert2.min.js HTTP/1.1" 200 42910
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/dist/js/adminlte.js HTTP/1.1" 200 104260
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/summernote/summernote-bs4.min.js HTTP/1.1" 200 153030
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/datatables-responsive/js/dataTables.responsive.min.js HTTP/1.1" 200 16849
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/datatables-responsive/js/responsive.bootstrap4.min.js HTTP/1.1" 200 3661
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/datatables-bs4/js/dataTables.bootstrap4.min.js HTTP/1.1" 200 4520
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/datatables/jquery.dataTables.min.js HTTP/1.1" 200 87956
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/toastr/toastr.min.js HTTP/1.1" 200 5251
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/datatables-buttons/js/dataTables.buttons.min.js HTTP/1.1" 200 25183
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/dist/img/AdminLTELogo.jpg HTTP/1.1" 200 668932
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/datatables-buttons/js/buttons.print.min.js HTTP/1.1" 200 2514
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/datatables-buttons/js/buttons.html5.min.js HTTP/1.1" 200 25103
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/datatables-buttons/js/buttons.bootstrap4.min.js HTTP/1.1" 200 1443
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/jszip/jszip.min.js HTTP/1.1" 200 95778
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/pdfmake/vfs_fonts.js HTTP/1.1" 200 812001
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/pdfmake/pdfmake.min.js HTTP/1.1" 200 1348857
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/datatables-buttons/js/buttons.colVis.min.js HTTP/1.1" 200 3198
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/resources/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78268
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/fundclient/HistorySearch?start=1697674718&end=1697761118 HTTP/1.1" 200 35506
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:38 +0800] "GET /portal/fundclient/HistorySearch?start=1697156318&end=1697761118 HTTP/1.1" 200 293117
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:39 +0800] "GET /portal/fundclient/HistorySearch?start=1695169119&end=1697761119 HTTP/1.1" 200 2308197
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:40 +0800] "GET /portal/fundclient/HistorySearch?start=833761119&end=1697761119 HTTP/1.1" 200 2308197
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:18:40 +0800] "GET /portal/resources/dist/img/AdminLTELogo.jpg HTTP/1.1" 200 668932
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:09 +0800] "GET /portal/fundclient/Summary HTTP/1.1" 200 46298
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:09 +0800] "GET /portal/resources/plugins/tempusdominus-bootstrap-4/css/tempusdominus-bootstrap-4.min.css HTTP/1.1" 200 11967
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:09 +0800] "GET /portal/resources/plugins/icheck-bootstrap/icheck-bootstrap.min.css HTTP/1.1" 200 12505
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:09 +0800] "GET /portal/resources/plugins/jqvmap/jqvmap.min.css HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:09 +0800] "GET /portal/resources/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 59305
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:09 +0800] "GET /portal/resources/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 20020
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:09 +0800] "GET /portal/resources/dist/css/adminlte.min.css HTTP/1.1" 200 1396747
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:09 +0800] "GET /portal/resources/plugins/summernote/summernote-bs4.min.css HTTP/1.1" 200 19513
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:09 +0800] "GET /portal/resources/crm/css/sh.css HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:09 +0800] "GET /portal/resources/dist/img/user2-160x160.jpg HTTP/1.1" 200 6905
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:09 +0800] "GET /portal/resources/plugins/daterangepicker/daterangepicker.css HTTP/1.1" 200 8069
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:09 +0800] "GET /portal/resources/dist/img/AdminLTELogo.jpg HTTP/1.1" 200 668932
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:10 +0800] "GET /portal/resources/plugins/jquery/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:10 +0800] "GET /portal/resources/plugins/jquery-ui/jquery-ui.min.js HTTP/1.1" 200 254921
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:10 +0800] "GET /portal/resources/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 83253
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:10 +0800] "GET /portal/resources/plugins/jqvmap/jquery.vmap.min.js HTTP/1.1" 200 21150
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:10 +0800] "GET /portal/resources/plugins/chart.js/Chart.min.js HTTP/1.1" 200 173077
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:10 +0800] "GET /portal/resources/plugins/sparklines/sparkline.js HTTP/1.1" 200 7219
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:10 +0800] "GET /portal/resources/plugins/jqvmap/maps/jquery.vmap.usa.js HTTP/1.1" 200 47712
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:10 +0800] "GET /portal/resources/plugins/jquery-knob/jquery.knob.min.js HTTP/1.1" 200 10804
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:10 +0800] "GET /portal/resources/plugins/moment/moment.min.js HTTP/1.1" 200 58862
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:10 +0800] "GET /portal/resources/plugins/tempusdominus-bootstrap-4/js/tempusdominus-bootstrap-4.min.js HTTP/1.1" 200 61588
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:10 +0800] "GET /portal/resources/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42602
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:10 +0800] "GET /portal/resources/plugins/summernote/summernote-bs4.min.js HTTP/1.1" 200 153030
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:10 +0800] "GET /portal/resources/plugins/daterangepicker/daterangepicker.js HTTP/1.1" 200 67842
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:10 +0800] "GET /portal/resources/dist/js/adminlte.js HTTP/1.1" 200 104260
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:10 +0800] "GET /portal/resources/plugins/sweetalert2/sweetalert2.min.js HTTP/1.1" 200 42910
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:10 +0800] "GET /portal/resources/plugins/datatables-responsive/js/responsive.bootstrap4.min.js HTTP/1.1" 200 3661
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:10 +0800] "GET /portal/resources/plugins/toastr/toastr.min.js HTTP/1.1" 200 5251
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:10 +0800] "GET /portal/resources/plugins/datatables-responsive/js/dataTables.responsive.min.js HTTP/1.1" 200 16849
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:10 +0800] "GET /portal/resources/plugins/datatables/jquery.dataTables.min.js HTTP/1.1" 200 87956
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:10 +0800] "GET /portal/resources/plugins/datatables-bs4/js/dataTables.bootstrap4.min.js HTTP/1.1" 200 4520
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:10 +0800] "GET /portal/resources/plugins/datatables-buttons/js/dataTables.buttons.min.js HTTP/1.1" 200 25183
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:10 +0800] "GET /portal/resources/plugins/datatables-buttons/js/buttons.bootstrap4.min.js HTTP/1.1" 200 1443
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:10 +0800] "GET /portal/resources/plugins/datatables-buttons/js/buttons.print.min.js HTTP/1.1" 200 2514
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:10 +0800] "GET /portal/resources/plugins/jszip/jszip.min.js HTTP/1.1" 200 95778
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:10 +0800] "GET /portal/resources/plugins/datatables-buttons/js/buttons.html5.min.js HTTP/1.1" 200 25103
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:10 +0800] "GET /portal/resources/plugins/pdfmake/pdfmake.min.js HTTP/1.1" 200 1348857
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:10 +0800] "GET /portal/resources/plugins/pdfmake/vfs_fonts.js HTTP/1.1" 200 812001
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:10 +0800] "GET /portal/resources/plugins/datatables-buttons/js/buttons.colVis.min.js HTTP/1.1" 200 3198
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:10 +0800] "GET /portal/resources/dist/img/AdminLTELogo.jpg HTTP/1.1" 200 668932
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:10 +0800] "GET /portal/resources/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78268
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:10 +0800] "GET /portal/fundclient/HistorySearch?start=1697675230&end=1697761630 HTTP/1.1" 200 35506
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:10 +0800] "GET /portal/fundclient/HistorySearch?start=1697156830&end=1697761630 HTTP/1.1" 200 293117
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:11 +0800] "GET /portal/fundclient/HistorySearch?start=1695169630&end=1697761630 HTTP/1.1" 200 2308197
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:12 +0800] "GET /portal/fundclient/HistorySearch?start=833761631&end=1697761631 HTTP/1.1" 200 2308197
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:12 +0800] "GET /portal/resources/dist/img/AdminLTELogo.jpg HTTP/1.1" 200 668932
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:27:12 +0800] "GET /portal/resources/dist/img/AdminLTELogo.jpg HTTP/1.1" 200 668932
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:36:53 +0800] "GET /portal/fundclient/Summary HTTP/1.1" 200 46298
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:36:53 +0800] "GET /portal/resources/plugins/tempusdominus-bootstrap-4/css/tempusdominus-bootstrap-4.min.css HTTP/1.1" 200 11967
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:36:53 +0800] "GET /portal/resources/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 59305
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:36:53 +0800] "GET /portal/resources/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 20020
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:36:53 +0800] "GET /portal/resources/plugins/icheck-bootstrap/icheck-bootstrap.min.css HTTP/1.1" 200 12505
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:36:53 +0800] "GET /portal/resources/plugins/daterangepicker/daterangepicker.css HTTP/1.1" 200 8069
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:36:53 +0800] "GET /portal/resources/plugins/jqvmap/jqvmap.min.css HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:36:53 +0800] "GET /portal/resources/plugins/summernote/summernote-bs4.min.css HTTP/1.1" 200 19513
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:36:53 +0800] "GET /portal/resources/crm/css/sh.css HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:36:53 +0800] "GET /portal/resources/dist/css/adminlte.min.css HTTP/1.1" 200 1396747
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:36:53 +0800] "GET /portal/resources/dist/img/user2-160x160.jpg HTTP/1.1" 200 6905
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:36:53 +0800] "GET /portal/resources/dist/img/AdminLTELogo.jpg HTTP/1.1" 200 668932
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:36:53 +0800] "GET /portal/resources/plugins/jquery/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:36:53 +0800] "GET /portal/resources/plugins/jquery-ui/jquery-ui.min.js HTTP/1.1" 200 254921
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:36:53 +0800] "GET /portal/resources/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 83253
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:36:53 +0800] "GET /portal/resources/plugins/sparklines/sparkline.js HTTP/1.1" 200 7219
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:36:53 +0800] "GET /portal/resources/plugins/jqvmap/maps/jquery.vmap.usa.js HTTP/1.1" 200 47712
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:36:53 +0800] "GET /portal/resources/plugins/jqvmap/jquery.vmap.min.js HTTP/1.1" 200 21150
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:36:53 +0800] "GET /portal/resources/plugins/chart.js/Chart.min.js HTTP/1.1" 200 173077
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:36:53 +0800] "GET /portal/resources/plugins/moment/moment.min.js HTTP/1.1" 200 58862
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:36:53 +0800] "GET /portal/resources/plugins/jquery-knob/jquery.knob.min.js HTTP/1.1" 200 10804
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:36:53 +0800] "GET /portal/resources/plugins/daterangepicker/daterangepicker.js HTTP/1.1" 200 67842
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:36:53 +0800] "GET /portal/resources/plugins/sweetalert2/sweetalert2.min.js HTTP/1.1" 200 42910
0:0:0:0:0:0:0:1 - - [20/Oct/2023:08:36:53 +0800] "GET /portal/resources/dist/js/adminlte.js HTTP/1.1" 200 104260
